app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Square POS,Play Store,Stuart Macdonald,1,"October 4, 2025",,"For some reason I can no longer switch locations within the app. I tap the switch locations text and the screen refreshes, after numerous taps I am informed I have no other locations. I have 3 locations in total. other apps and devices work fine I have clear cache and storage, reinstalled app, turned phone off and on with no difference to the issue.",,,5,,
Square POS,Play Store,Darin Sherriffs,5,"February 14, 2026",,"small , service company, square opened up availability to more business by allowing customers to pay with cards . always have to manually enter card# which charges a little more but way more positive outcome for my company",,,,,
Square POS,Play Store,SmyrnaGal,5,"February 14, 2026",,"So easy to use, send receipts, and great reporting features.",,,,,
Square POS,Play Store,Andy Orsa,3,"February 21, 2026",,I hate the constant updates I want to connect business I don't have time to be waiting all that time for updates,,,,,
Square POS,Play Store,Kassie Webber,3,"February 3, 2026",,not receiving all deposits or tips... starting to get frustrated with missing money.. tried to fix it but still isn't.,,,,,
Square POS,Play Store,Dan K,2,"February 10, 2026",,Offline issues when you don't have connection. App won't load. Payments drop,,,,,
Square POS,Play Store,kaxara,1,"September 30, 2025",,"Absolutely can't believe this company. I've been using square for over 8 years, & all of a sudden at 4:57pm I get an email saying they've reviewed my account and they have deactivated my account. No option to remedy or conversation, just blocked! We are supposed to do local Markets tomorrow from 7am and all they can say is ""you will no longer be able to process any payment card transactions using Square, you are free to contact alternative payment processors."" Bloody oath I'll never use again!",,,2,,
Square POS,Play Store,Melvin Flores,1,"October 1, 2025",,"Horrible I downloaded this app to view my receipt for a purchase I made at a food truck. Somehow I was able to make an account with only my email, and it never asked me to make a password even though I need one to sign in. When you hit the forgot username/password it does not send you an email like it says it will. I went on a link to view my purchase but all it shows me is the total and not what I paid for.",,,4,,
Square POS,Play Store,Lisa Hendricks,5,"October 4, 2025",,"I think it's the most reliable, least expensive, and easiest to use of the solutions available right now. I know it's not perfect (Why do they keep changing the interface?? It's perfectly fine, and then I have to relearn it again, over and over. Why??), but I have tried at least four different systems, and Square was the best of the four. It works, every time, like clockwork, for me and several others that I've helped at craft shows, etc. I recommend it.",,,32,,
Square POS,Play Store,Justina yerty,1,"December 10, 2025",,"always a random problem and it's impossible to get ahold of customer service, wish there was a better point of sale system app to use.",,,,,
Square POS,Play Store,Rachel Besenyody,4,"November 5, 2025",,"For the most part, this is a great app. I don't like that fact that square now has a separate tipping screen. It should be above the signature line so it appears a little more discreet and not in your face as soon as you swipe the card. Why did square take away the option to have it on the same screen or separate? I really wish it was changed back. I find myself skipping the tip part altogether to avoid the awkward screen that is the first thing my clients see when paying and I'm losing out on $",,,7,,
Square POS,Play Store,Brian Bontrager,4,"January 14, 2026",,is very user friendly. The only issue I have is that everything an update comes down it messes with the options on the menu.,,,,,
Square POS,Play Store,Todd Davies,1,"October 8, 2025",,"I only am using the app on my android due to failure of my Square Reader, which was glitchy and quit working. Not only did I lose sales, but it was out of the 1 year warranty, so they told me to buy a new machine. No thank you Square! I will take my business elsewhere, high volume but low sales pushed the credit card average cost to almost 4.7%, No Thank You!",,,10,,
Square POS,Play Store,Jessica,5,"February 8, 2026",,Square is easy to use and quick with processing transactions.,,,,,
Square POS,Play Store,Martin Embery,5,"January 24, 2026",,best app ever for managing our small business and charity. no set up costs or devices to pay for as we use our phones anywhere we are. it has released us from having to process records and visiting the bank.,,,,,
Square POS,Play Store,Charlene Hogan,1,"October 23, 2025",,"Loving Square, easy to use, simple and comprehensive. Perfect for a growing business. Updated 23/10/25Sadly the support is not great. My app stopped functioning properly after an update, this has been reported... I was told my device is unsuitable for your app... Almost 3 years of perfect use. So I am afraid I will have to move on to another form of payment facility.",,,4,,
Square POS,Play Store,Sue Hughes,5,"December 5, 2025",,It's just a fabulous little gadget that works like a dream! No longer turning sales away as I didn't have a card reader.,,,,,
Square POS,Play Store,Ember Stevenson,2,"September 20, 2025",,everytime I go to log into the app even though I have already set up a profile it asks me to enter my business name and then says something went wrong. I havnt had this issue before on the app. I have Uninstaller and reinstalled and still the same message. it foesnt allow me to bypass the business name page and my options are sign-up or cancel which still leads me to sign out..... what am I doing wrong? I can access it just fine through Google but the app just won't let me continue.,,,2,,
Square POS,Play Store,Thomas,1,"September 29, 2025",,"It's fine, but there are some really stupid little decisions that make it far from a good mobile system. you can't edit discounts once they are applied unless you are on the desktop site. you can't delete them, edit them or do anything but apply more discounts. it's absolutely stupid and forced you to create a whole new estimate if you are on site and the job changes at all. So I have to go home and edit a small line or spend ten minutes writing up a new estimate. lots of other little things too",,,,,
Square POS,Play Store,Michele Ellington,5,"November 9, 2025",,"Very convenient. I just tap the card to the back of my phone and the buyer is charged. most of the time the app already has a contact email or phone number to text or email a receipt. If it doesn't, it's very easy for the customer to tap one in if they want a receipt.",,,49,,
Square POS,Play Store,Heather Parker,1,"October 31, 2025",,"There's multiple issues with square as a whole. First, you cannot reach a live person in customer service. They want you to use their chat option instead which I dislike. Secondly, they take out an exorbitant amount of fees for each credit card transaction you take from your customers. I am taking my business elsewhere. AVOID THIS COMPANY!!!!",,,6,,
