app,store,author,rating,date,title,content,developerResponse,version,helpfulCount,voteCount,voteSum
Shopify POS,App Store,kids streetwear,1,2020-11-20T17:00:59-07:00,Very disappointing,We have been using POS for years and now to access the same features we had you want us to pay $90 usd per location per month! Which is Absolutely crazy. Just add the ability to exchange items in the lite option would be helpful.,,6.26.2,,,
Shopify POS,App Store,natkarl,1,2020-11-17T00:05:36-07:00,ISSUES WITH NEW POS LITE ..not happy at all,"New POS LITE
- can’t save multiple customer cart anymore 
- can’t do a quick exchange for customer in our shop .. coming in to busy time instore and ridiculous to only have refund option now as we only exchange 
- can’t do layby 
- already pay enough each month to then lose features we are use to and have to pay lots of $$$ 
Time to look elsewhere to get what I need for my small business unless we get the features back
YOU CHARGED US FOR POS PRO !!! 😡 AND WE ONLY HAVE AND USE THE NEW AND AWFUL POS LITE as we can’t afford to pay you anymore than we already do 
FIX IT URGENTLY",,6.26.1,,,
Shopify POS,App Store,Sarah atkins,1,2020-11-06T02:01:34-07:00,New POS upgrade needs work URGENTLY,"I LOVED the previous Shopify pos app. 

It HAD all the features we need. 

Since upgrading, I do not believe we should have to pay US $85/month just to be able to have the same functions and features as we had before. That’s roughly AU$125-$130 PER MONTH.   

We’re now missing the ability to: 

1.     Initiate a lay-by (partially paid order) 
This is an enormous oversight and needs urgent attention. OR if the ability exists, some instruction on how to. 
URGENT ATTENTION REQUIRED. 

2.    Search for a partially paid order using the customer name, the process which makes the most sense. We now have to scroll through the list of orders (all orders) to see which ones are partially paid, it’s impossible. 
URGENT ATTENTION REQUIRED. 

3.    Staff pins? Trying to issue my staff a PIN number via admin as can’t work how to do it in POS app.  (they had one each before, 5 staff in total) and all I get is “Pin is already taken”. Plus I can’t see my staff listed in Shopify admin. 
AGAIN, URGENT ATTENTION REQUIRED. 

4.    The “add custom sale” tile takes you to a screen where it’s very easy to add the amount, BUT the design and layout really leads you to press the “+1” button rather than the “add to cart” button which seems quite hidden in the top right corner. 
URGENT ATTENTION REQUIRED. 

5.    Add to cart. Paying an extra $85 (US!) per month is an extreme extra cost for a feature that was previously included as standard. The technology has not changed for this feature. 
URGENT ATTENTION REQUIRED.  

6.   Remove extra steps. Please, to be exact,  a fourth option in the bottom row toolbar, that is a simple “back to checkout” option. I should not have to press 5 buttons (at minimum) to get back to the cart page. It takes valuable time and is extremely frustrating. 
URGENT ATTENTION REQUIRED. 

Speed and accuracy are the most important things to consider in a busy retail environment.

This upgrade has so much potential, but considering the above is clunky and does not consider the merchant in a retail environment at all. 

If you’re going to upgrade and rebuild an app in complete usability and layout, then the existing services should still be available for the same subscription rate. We’re already paying for a system which now has LESS features, and your profit is going up, right? 

These matters need urgent attention, as we are heading into the Christmas period and cannot afford more time and money spent for a system that worked perfectly well before the update. 

It pains me to consider looking at other options than Shopify. I do not want to retrain my staff, or rebuild my store or POS system. 

Please fix these issues as a matter of extreme urgency. 
In the future when an upgrade is planned (BEFORE it is implemented) I strongly suggest deeper level merchant liaison and feedback, and restructure based on this feedback. 

Still a Shopify fan, just not a happy one at the moment. 
As previously mentioned, the above mentioned matters were already standard prior to the upgrade. 

Isn’t Shopify as a corporation making enough money from subscriptions and Addons and percentages of online sales, without adding on the massive new POS fees just for the same features we had?

Please work these UX issues out as a matter of urgency, or my money (your profit) walks.",,6.25.1,,,
Shopify POS,App Store,Toddy.B,1,2020-11-02T12:50:31-07:00,Unhappy with new Look,"Very unhappy with the new layout and look, bring back the ability to save a cart",,6.25.0,,,
Shopify POS,App Store,hasan27,5,2020-11-01T20:54:31-07:00,Shopify have done it,Incredibly stable. Has increased our closure rate significantly. Reduces staff and warehouse Costs. Streamlines internal logistics for local deliveries. Increases margin with more relevant product info at fingertips. So intuitive. Flexible. Fast. Easy. Reinvigorates sales teams. Thanks Shopify. The platform to end all platforms.,,6.25.0,,,
Shopify POS,App Store,tfhmcghmchgchg,1,2020-10-27T23:05:35-07:00,Terrible,The search features are woeful. You can customise categories but no search feature? Redic,,6.24.0,,,
Shopify POS,App Store,Dollarmites,2,2020-08-11T19:49:02-07:00,Need after pay integration,Waste of time if we can’t accept afterpay,,6.13.1,,,
Shopify POS,App Store,RetailB,1,2020-07-12T03:42:01-07:00,what a joke,"If could only give minus stars!!!!!
Waste of time and energy!
Very frustrating! dont live up to the hype! 

Im only talking about performance in AU
One note... if your not fully ready to roll out in AU DON’T !
no payment intergration! for a busy store this is a must! manual payment processing is dangerous since it can cause errors! 

mpop intergrations dont work.
After trying thousand times to print receipt and scan barcodes!!!!
Support told us mpop dont work in AU!

Excuse me.... but it is jn recomended hardware.

in summary very disapointed!",,6.9.1,,,
Shopify POS,App Store,Lemmons Store,1,2020-05-28T16:17:19-07:00,Very disappointing,"We have used the previous version for a few years, it isn’t perfect but you can do what you need. The new version is very average, has all these new features that are supposed to make it great but hasn’t addressed any of the previous things that needed fixing. Now it is going to cost much more. Basic functions like scanning products are very glitchy, sometimes work easily sometimes don’t work at all with the scanner we have used for over 2 years. Very average product for the price now, would be fine if your needs were very basic, if you have products with lots of variants, customer accounts, accept appro’s & returns, need accounts to sub total for customer payments, find one that at least you get the features you need for the money.",,6.3.0,,,
Shopify POS,App Store,Tobias G,2,2019-07-23T04:30:04-07:00,Basics covered. Not yet ready for Australia,"Good overall POS with some decent features. 
Simple features missing though such as cash rounding, fulfilment at POS, TYRO integration (or other EFTPOS terminal), and global sales holds. 
Having a diverse range of apps to select from is ok, but some basics could be covered out of the box such as the ability to process/retrieve a saved draft order via POS rather than having to pay for an app to be able to do this.",,5.33.0,,,
